1034541,11
1034541,17
1034541,13
912649,15
912649,1
912649,2
1184918,3
1184918,15
1184918,8
933260,7
933260,11
933260,15
889737,7
889737,5
889737,17
698687,3
698687,15
698687,2
698687,8
1084736,2
1084736,10
1084736,1
1084736,7
1084736,14
1084736,17
533535,1
533535,4
533535,15
1051896,1
1051896,11
1051896,17
1051896,15
335983,15
335983,1
945961,15
945961,11
580489,15
580489,1
580489,2
1022789,3
1022789,8
1022789,2
1022789,4
1022789,7
519182,3
519182,8
519182,4
519182,1
1196470,17
1196470,2
1196470,1
1196470,15
976734,1
976734,17
976734,5
420634,11
420634,17
179387,7
179387,14
663712,11
663712,17
1063877,11
1063877,17
1029235,1
1029235,11
1029235,17
917496,4
917496,9
917496,11
1118031,7
1118031,1
1118031,11
354912,8
354912,3
354912,12
354912,2
827931,11
827931,15
827931,17
1371727,3
1371727,8
1371727,4
1371727,11
1287717,11
3933,14
3933,9
3933,3
1125510,15
1125510,11
1159311,3
1159311,1
1159311,2
1159311,15
86328,11
978796,11
978796,17
845781,4
845781,1
845781,9
1100782,11
1100782,13
573435,1
573435,4
616446,1
616446,4
616446,5
1094974,1
1094974,17
957452,1
957452,9
957452,11
231001,11
1331375,1
1331375,17
1047373,5
1047373,17
1047373,1
991610,1
991610,7
991610,17
1149912,7
1149912,14
823219,3
823219,9
823219,2
1144962,1
1144962,15
1010581,14
1010581,7
1079091,14
1079091,7
824003,5
824003,1
1140648,15
1140648,11
1140648,17
592695,7
1354627,16
1354627,8
1354627,4
1354627,11
1354627,3
558449,1
558449,2
726139,1
726139,17
726139,11
726139,15
1087822,9
1087822,11
1087822,1
1022796,3
1022796,8
1022796,9
1022796,2
1079485,11
1079485,17
1147710,1
1147710,17
1147710,5
721173,14
929563,3
929563,8
929563,4
929563,12
929563,16
1011985,3
1011985,8
1011985,9
1011985,1
1145491,1
1145491,17
1320786,11
1320786,17
1042657,15
1042657,17
1042657,11
1029955,7
1029955,4
783110,5
783110,1
1047020,5
1047020,17
1362961,4
55685,4
748783,3
748783,4
748783,8
748783,2
748783,1
1255208,11
1255208,17
1249532,11
1249532,13
1373893,1
1091181,2
1091181,4
1091181,9
1091181,1
482600,14
482600,7
1329336,3
1329336,4
1032823,17
1032823,5
365177,1
365177,15
365177,4
814889,11
814889,7
975022,11
975022,17
975022,1
653346,15
653346,2
653346,1
1359867,16
1359867,4
1359867,14
1359867,7
639720,4
639720,9
639720,8
11688,2
11688,3
11688,4
11688,8
11688,9
173705,7
173705,13
173705,11
1359227,3
1359227,4
1359227,15
